Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2018-09-18,21:00,AS Monaco,FRA,Atlético Madrid,ESP,1-2
Group A,2018-09-18,21:00,Club Brugge KV,BEL,Borussia Dortmund,GER,0-1
Group A,2018-10-03,21:00,Borussia Dortmund,GER,AS Monaco,FRA,3-0
Group A,2018-10-03,21:00,Atlético Madrid,ESP,Club Brugge KV,BEL,3-1
Group A,2018-10-24,18:55,Club Brugge KV,BEL,AS Monaco,FRA,1-1
Group A,2018-10-24,21:00,Borussia Dortmund,GER,Atlético Madrid,ESP,4-0
Group A,2018-11-06,18:55,AS Monaco,FRA,Club Brugge KV,BEL,0-4
Group A,2018-11-06,21:00,Atlético Madrid,ESP,Borussia Dortmund,GER,2-0
Group A,2018-11-28,18:55,Atlético Madrid,ESP,AS Monaco,FRA,2-0
Group A,2018-11-28,21:00,Borussia Dortmund,GER,Club Brugge KV,BEL,0-0
Group A,2018-12-11,21:00,AS Monaco,FRA,Borussia Dortmund,GER,0-2
Group A,2018-12-11,21:00,Club Brugge KV,BEL,Atlético Madrid,ESP,0-0
Group B,2018-09-18,18:55,FC Barcelona,ESP,PSV Eindhoven,NED,4-0
Group B,2018-09-18,18:55,Inter,ITA,Tottenham Hotspur,ENG,2-1
Group B,2018-10-03,21:00,Tottenham Hotspur,ENG,FC Barcelona,ESP,2-4
Group B,2018-10-03,21:00,PSV Eindhoven,NED,Inter,ITA,1-2
Group B,2018-10-24,18:55,PSV Eindhoven,NED,Tottenham Hotspur,ENG,2-2
Group B,2018-10-24,21:00,FC Barcelona,ESP,Inter,ITA,2-0
Group B,2018-11-06,21:00,Tottenham Hotspur,ENG,PSV Eindhoven,NED,2-1
Group B,2018-11-06,21:00,Inter,ITA,FC Barcelona,ESP,1-1
Group B,2018-11-28,21:00,PSV Eindhoven,NED,FC Barcelona,ESP,1-2
Group B,2018-11-28,21:00,Tottenham Hotspur,ENG,Inter,ITA,1-0
Group B,2018-12-11,21:00,FC Barcelona,ESP,Tottenham Hotspur,ENG,1-1
Group B,2018-12-11,21:00,Inter,ITA,PSV Eindhoven,NED,1-1
