Stage,Date,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Prelim. Round,1993-08-18,Skonto,LVA,Olimpija Ljubljana,SVN,0-1
Prelim. Round,1993-08-18,Cwmbran Town,WAL,Cork City,IRL,3-2
Prelim. Round,1993-08-18,Avenir Beggen,LUX,Rosenborg BK,NOR,0-2
Prelim. Round,1993-08-18,B68 Toftir,FRO,Dinamo Zagreb,CRO,0-5
Prelim. Round,1993-08-18,Zimbru Chisinau,MDA,Beitar Jerusalem,ISR,1-1
Prelim. Round,1993-08-18,Dinamo Tbilisi,GEO,Linfield,NIR,2-1
Prelim. Round,1993-08-18,Omonia Nicosia,CYP,FC Aarau,SUI,2-1
Prelim. Round,1993-08-18,HJK Helsinki,FIN,FC Norma Tallinn,EST,1-1
Prelim. Round,1993-08-18,FK Ekranas,LTU,Floriana,MLT,0-1
Prelim. Round,1993-08-22,FK Partizani Tirana,ALB,IA Akranes,ISL,0-0
Prelim. Round,1993-09-01,Olimpija Ljubljana,SVN,Skonto,LVA,0-1 (*)
Prelim. Round,1993-09-01,Cork City,IRL,Cwmbran Town,WAL,2-1
Prelim. Round,1993-09-01,Rosenborg BK,NOR,Avenir Beggen,LUX,1-0
Prelim. Round,1993-09-01,Dinamo Zagreb,CRO,B68 Toftir,FRO,6-0
Prelim. Round,1993-09-01,Beitar Jerusalem,ISR,Zimbru Chisinau,MDA,2-0
Prelim. Round,1993-09-01,Linfield,NIR,Dinamo Tbilisi,GEO,1-1
Prelim. Round,1993-09-01,FC Aarau,SUI,Omonia Nicosia,CYP,2-0
Prelim. Round,1993-09-01,IA Akranes,ISL,FK Partizani Tirana,ALB,3-0
Prelim. Round,1993-09-01,Floriana,MLT,FK Ekranas,LTU,1-0
Prelim. Round,1993-09-01,FC Norma Tallinn,EST,HJK Helsinki,FIN,0-1
Round 1,1993-09-15,Steaua Bucuresti,ROU,Dinamo Zagreb,CRO,1-2
Round 1,1993-09-15,Rangers FC,SCO,Levski Sofia,BUL,3-2
Round 1,1993-09-15,FC Aarau,SUI,AC Milan,ITA,0-1
Round 1,1993-09-15,AS Monaco,FRA,AEK Athens,GRE,1-0
Round 1,1993-09-15,AIK Solna,SWE,Sparta Praha,CZE,1-0
Round 1,1993-09-15,Skonto,LVA,Spartak Moskva,RUS,0-5
Round 1,1993-09-15,Dinamo Kiev,UKR,FC Barcelona,ESP,3-1
Round 1,1993-09-15,Lech Poznan,POL,Beitar Jerusalem,ISR,3-0
Round 1,1993-09-15,Galatasaray İstanbul AŞ,TUR,Cork City,IRL,2-1
Round 1,1993-09-15,FC Porto,POR,Floriana,MLT,2-0
Round 1,1993-09-15,IA Akranes,ISL,Feyenoord Rotterdam,NED,1-0
Round 1,1993-09-15,HJK Helsinki,FIN,RSC Anderlecht,BEL,0-3
Round 1,1993-09-15,Kispesti Honved,HUN,Manchester United FC,ENG,2-3
Round 1,1993-09-15,Linfield,NIR,Kobenhavn,DEN,3-0
Round 1,1993-09-15,Rosenborg BK,NOR,Austria Wien,AUT,3-1
Round 1,1993-09-16,Werder Bremen,GER,Dinamo Minsk,BLR,5-2
Round 1,1993-09-28,Dinamo Zagreb,CRO,Steaua Bucuresti,ROU,2-3
Round 1,1993-09-29,Beitar Jerusalem,ISR,Lech Poznan,POL,2-4
Round 1,1993-09-29,AC Milan,ITA,FC Aarau,SUI,0-0
Round 1,1993-09-29,AEK Athens,GRE,AS Monaco,FRA,1-1
Round 1,1993-09-29,Sparta Praha,CZE,AIK Solna,SWE,2-0
Round 1,1993-09-29,Austria Wien,AUT,Rosenborg BK,NOR,4-1
Round 1,1993-09-29,FC Barcelona,ESP,Dinamo Kiev,UKR,4-1
Round 1,1993-09-29,Levski Sofia,BUL,Rangers FC,SCO,2-1
Round 1,1993-09-29,Cork City,IRL,Galatasaray İstanbul AŞ,TUR,0-1
