Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2015-09-15,20:45,Real Madrid,ESP,Shakhtar Donetsk,UKR,4-0
Group A,2015-09-15,20:45,Paris Saint-Germain,FRA,Malmö FF,SWE,2-0
Group A,2015-09-30,20:45,Malmö FF,SWE,Real Madrid,ESP,0-2
Group A,2015-09-30,20:45,Shakhtar Donetsk,UKR,Paris Saint-Germain,FRA,0-3
Group A,2015-10-21,20:45,Paris Saint-Germain,FRA,Real Madrid,ESP,0-0
Group A,2015-10-21,20:45,Malmö FF,SWE,Shakhtar Donetsk,UKR,1-0
Group A,2015-11-03,20:45,Real Madrid,ESP,Paris Saint-Germain,FRA,1-0
Group A,2015-11-03,20:45,Shakhtar Donetsk,UKR,Malmö FF,SWE,4-0
Group A,2015-11-25,20:45,Malmö FF,SWE,Paris Saint-Germain,FRA,0-5
Group A,2015-11-25,20:45,Shakhtar Donetsk,UKR,Real Madrid,ESP,3-4
Group A,2015-12-08,20:45,Paris Saint-Germain,FRA,Shakhtar Donetsk,UKR,2-0
Group A,2015-12-08,20:45,Real Madrid,ESP,Malmö FF,SWE,8-0
Group B,2015-09-15,20:45,VfL Wolfsburg,GER,CSKA Moskva,RUS,1-0
Group B,2015-09-15,20:45,PSV Eindhoven,NED,Manchester United,ENG,2-1
Group B,2015-09-30,20:45,CSKA Moskva,RUS,PSV Eindhoven,NED,3-2
Group B,2015-09-30,20:45,Manchester United,ENG,VfL Wolfsburg,GER,2-1
Group B,2015-10-21,20:45,CSKA Moskva,RUS,Manchester United,ENG,1-1
Group B,2015-10-21,20:45,VfL Wolfsburg,GER,PSV Eindhoven,NED,2-0
Group B,2015-11-03,20:45,PSV Eindhoven,NED,VfL Wolfsburg,GER,2-0
Group B,2015-11-03,20:45,Manchester United,ENG,CSKA Moskva,RUS,1-0
Group B,2015-11-25,18:00,CSKA Moskva,RUS,VfL Wolfsburg,GER,0-2
Group B,2015-11-25,20:45,Manchester United,ENG,PSV Eindhoven,NED,0-0
Group B,2015-12-08,20:45,VfL Wolfsburg,GER,Manchester United,ENG,3-2
Group B,2015-12-08,20:45,PSV Eindhoven,NED,CSKA Moskva,RUS,2-1
Group C,2015-09-15,20:45,SL Benfica,POR,FK Astana,KAZ,2-0
Group C,2015-09-15,20:45,Galatasaray,TUR,Atlético Madrid,ESP,0-2
Group C,2015-09-30,18:00,FK Astana,KAZ,Galatasaray,TUR,2-2
Group C,2015-09-30,20:45,Atlético Madrid,ESP,SL Benfica,POR,1-2
Group C,2015-10-21,20:45,Galatasaray,TUR,SL Benfica,POR,2-1
Group C,2015-10-21,20:45,Atlético Madrid,ESP,FK Astana,KAZ,4-0
Group C,2015-11-03,16:00,FK Astana,KAZ,Atlético Madrid,ESP,0-0
Group C,2015-11-03,20:45,SL Benfica,POR,Galatasaray,TUR,2-1
Group C,2015-11-25,16:00,FK Astana,KAZ,SL Benfica,POR,2-2
Group C,2015-11-25,20:45,Atlético Madrid,ESP,Galatasaray,TUR,2-0
Group C,2015-12-08,20:45,Galatasaray,TUR,FK Astana,KAZ,1-1
Group C,2015-12-08,20:45,SL Benfica,POR,Atlético Madrid,ESP,1-2
Group D,2015-09-15,20:45,Sevilla FC,ESP,Bor. Mönchengladbach,GER,3-0
Group D,2015-09-15,20:45,Manchester City,ENG,Juventus,ITA,1-2
Group D,2015-09-30,20:45,Juventus,ITA,Sevilla FC,ESP,2-0
Group D,2015-09-30,20:45,Bor. Mönchengladbach,GER,Manchester City,ENG,1-2
Group D,2015-10-21,20:45,Manchester City,ENG,Sevilla FC,ESP,2-1
Group D,2015-10-21,20:45,Juventus,ITA,Bor. Mönchengladbach,GER,0-0
Group D,2015-11-03,20:45,Bor. Mönchengladbach,GER,Juventus,ITA,1-1
Group D,2015-11-03,20:45,Sevilla FC,ESP,Manchester City,ENG,1-3
Group D,2015-11-25,20:45,Juventus,ITA,Manchester City,ENG,1-0
Group D,2015-11-25,20:45,Bor. Mönchengladbach,GER,Sevilla FC,ESP,4-2
Group D,2015-12-08,20:45,Manchester City,ENG,Bor. Mönchengladbach,GER,4-2
Group D,2015-12-08,20:45,Sevilla FC,ESP,Juventus,ITA,1-0
Group E,2015-09-16,20:45,AS Roma,ITA,FC Barcelona,ESP,1-1
Group E,2015-09-16,20:45,Bayer Leverkusen,GER,BATE Borisov,BLR,4-1
Group E,2015-09-29,20:45,FC Barcelona,ESP,Bayer Leverkusen,GER,2-1
Group E,2015-09-29,20:45,BATE Borisov,BLR,AS Roma,ITA,3-2
Group E,2015-10-20,20:45,BATE Borisov,BLR,FC Barcelona,ESP,0-2
Group E,2015-10-20,20:45,Bayer Leverkusen,GER,AS Roma,ITA,4-4
Group E,2015-11-04,20:45,AS Roma,ITA,Bayer Leverkusen,GER,3-2
Group E,2015-11-04,20:45,FC Barcelona,ESP,BATE Borisov,BLR,3-0
Group E,2015-11-24,18:00,BATE Borisov,BLR,Bayer Leverkusen,GER,1-1
