season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,goals__goals,goals__goals_scored_with_right,goals__goals_scored_with_left,goals__goals_scored_head,goals__goals_scored_other,goals__goals_scored_inside_penalty_area,goals__goals_scored_outside_penalty_area,goals__penalty_scored,goals__matches_appearance
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,5112,Romário,59.0,1966-01-29,BRA,,MALE,FORWARD,UNKNOWN,,Romário,,7.0,1.0,,,,,,,9.0
1992,52748,MAR,Marseille,Marseille,France,Francia,4993,Alen Bokšić,55.0,1970-01-21,CRO,,MALE,FORWARD,,,Bokšić,,6.0,6.0,,,,,,,8.0
1992,52748,MAR,Marseille,Marseille,France,Francia,5412,Franck Sauzée,60.0,1965-10-28,FRA,,MALE,MIDFIELDER,UNKNOWN,,Sauzée,,6.0,4.0,,,,,,2.0,10.0
1992,50058,MIL,Milan,Milan,Italy,Italia,411,Marco van Basten,61.0,1964-10-31,NED,NED,MALE,FORWARD,UNKNOWN,,Van Basten,,6.0,2.0,,,,,,1.0,5.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,1144,Johnny Ekström,60.0,1965-03-05,SWE,,MALE,FORWARD,UNKNOWN,,Ekström,,5.0,1.0,,,,,,,10.0
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,18681,Humberto Costa,56.0,1969-06-02,BRA,,MALE,,,,Pereira Costa,,4.0,2.0,,,,,,,4.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,5908,José Carlos,60.0,1965-03-19,BRA,,MALE,,,,Nascimento,,4.0,,,,,,,1.0,4.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,2568,Gert Verheyen,55.0,1970-09-20,BEL,,MALE,FORWARD,,,Verheyen,,4.0,,,,,,,,10.0
1992,50058,MIL,Milan,Milan,Italy,Italia,5535,Marco Simone,56.0,1969-01-07,ITA,,MALE,FORWARD,,,Simone,,4.0,,,,,,,,8.0
1992,52748,MAR,Marseille,Marseille,France,Francia,11559,Abédi Ayew,61.0,1964-11-05,GHA,,MALE,MIDFIELDER,,,Ayew,,3.0,3.0,,,,,,,11.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,1188,Juul Ellerman,60.0,1965-10-07,NED,,MALE,,,,Ellerman,,3.0,3.0,,,,,,,8.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1866,Ian Durrant,59.0,1966-10-29,SCO,,MALE,MIDFIELDER,,,Durrant,,3.0,2.0,,,,,,,9.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,4769,Arthur Numan,55.0,1969-12-14,NED,,MALE,DEFENDER,,,Numan,,3.0,2.0,,,,,,,8.0
