season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,distribution__passes_accuracy,distribution__passes_attempted,distribution__passes_completed,distribution__cross_accuracy,distribution__cross_attempted,distribution__cross_completed,distribution__free_kick,distribution__matches_appearance
1992,52748,MAR,Marseille,Marseille,France,Francia,4997,Didier Deschamps,57.0,1968-10-15,FRA,FRA,MALE,,,,Deschamps,,,,,0.0,,,,11.0
1992,52748,MAR,Marseille,Marseille,France,Francia,11559,Abédi Ayew,61.0,1964-11-05,GHA,,MALE,MIDFIELDER,,,Ayew,,,,,0.0,,,,11.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,681,Dany Verlinden,62.0,1963-08-15,BEL,,MALE,GOALKEEPER,,,Verlinden,,,,,0.0,,,,10.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,6666,Håkan Mild,54.0,1971-06-14,SWE,,MALE,MIDFIELDER,,,Mild,,,,,0.0,,,,10.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,5989,Andy Goram,61.0,1964-04-13,SCO,,MALE,,,,Goram,,,,,0.0,,,,10.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,5418,Lorenzo Staelens,61.0,1964-04-30,BEL,,MALE,DEFENDER,UNKNOWN,,Staelens,,,,,0.0,,,,10.0
1992,50058,MIL,Milan,Milan,Italy,Italia,428,Paolo Maldini,57.0,1968-06-26,ITA,ITA,MALE,DEFENDER,,,Maldini,3,,,,0.0,,,,10.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,3451,Dave McPherson,61.0,1964-01-28,SCO,,MALE,,,,McPherson,,,,,0.0,,,,10.0
1992,52748,MAR,Marseille,Marseille,France,Francia,1896986,Marcel Desailly,57.0,1968-09-07,FRA,GHA,MALE,DEFENDER,CENTRE_BACK,,Desailly,,,,,0.0,,,,10.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1864,John Brown,63.0,1962-01-26,SCO,,MALE,,,,Brown,,,,,0.0,,,,10.0
1992,52748,MAR,Marseille,Marseille,France,Francia,15873,Fabien Barthez,54.0,1971-06-28,FRA,FRA,MALE,GOALKEEPER,,,Barthez,,,,,0.0,,,,10.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,10494,Oleg Sergeev,57.0,1968-03-29,RUS,,MALE,,,,,,,,,0.0,,,,10.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,1883842,Pontus Kåmark,56.0,1969-04-05,SWE,SWE,MALE,DEFENDER,,,Kåmark,,,,,0.0,,,,10.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,4390,Vítor Baía,56.0,1969-10-15,POR,POR,MALE,,,,,99,,,,0.0,,,,10.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,2568,Gert Verheyen,55.0,1970-09-20,BEL,,MALE,FORWARD,,,Verheyen,,,,,0.0,,,,10.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,7147,Stefan Rehn,59.0,1966-09-22,SWE,,MALE,MIDFIELDER,,,Rehn,,,,,0.0,,,,10.0
1992,50058,MIL,Milan,Milan,Italy,Italia,420,Alessandro Costacurta,59.0,1966-04-24,ITA,,MALE,DEFENDER,,,Costacurta,5,,,,0.0,,,,10.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,1144,Johnny Ekström,60.0,1965-03-05,SWE,,MALE,FORWARD,UNKNOWN,,Ekström,,,,,0.0,,,,10.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,11943,Rudy Cossey,64.0,1961-08-02,BEL,,MALE,,UNKNOWN,,Cossey,,,,,0.0,,,,10.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,1201,Edward Linskens,57.0,1968-11-06,NED,,MALE,,,,Linskens,,,,,0.0,,,,10.0
1992,52748,MAR,Marseille,Marseille,France,Francia,5412,Franck Sauzée,60.0,1965-10-28,FRA,,MALE,MIDFIELDER,UNKNOWN,,Sauzée,,,,,0.0,,,,10.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,653,Magnus Johansson,54.0,1971-10-11,SWE,,MALE,DEFENDER,,,Johansson,,,,,0.0,,,,10.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,2176,Peter Eriksson,56.0,1969-05-18,SWE,,MALE,MIDFIELDER,,,Eriksson,,,,,0.0,,,,10.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,15138,Ilshat Fayzulin,52.0,1973-03-05,RUS,,MALE,,,,Faizouline,,,,,0.0,,,,10.0
1992,52748,MAR,Marseille,Marseille,France,Francia,18892,Jean-Jacques Eydelie,59.0,1966-02-03,FRA,,MALE,MIDFIELDER,,,Eydelie,,,,,0.0,,,,10.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,15139,Dmitri Korsakov,53.0,1971-12-29,RUS,,MALE,MIDFIELDER,,,Korsakov,,,,,0.0,,,,10.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,7817,Stuart McCall,61.0,1964-06-10,SCO,,MALE,,,72533,,,,,,0.0,,,,9.0
1992,52748,MAR,Marseille,Marseille,France,Francia,5158,Basile Boli,58.0,1967-01-02,FRA,CIV,MALE,DEFENDER,,,Boli,,,,,0.0,,,,9.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1875,Ally McCoist,63.0,1962-09-24,SCO,,MALE,FORWARD,,,McCoist,,,,,0.0,,,,9.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,108,Hans van Breukelen,69.0,1956-10-04,NED,,MALE,GOALKEEPER,UNKNOWN,,Van Breukelen,,,,,0.0,,,,9.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1866,Ian Durrant,59.0,1966-10-29,SCO,,MALE,MIDFIELDER,,,Durrant,,,,,0.0,,,,9.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,5112,Romário,59.0,1966-01-29,BRA,,MALE,FORWARD,UNKNOWN,,Romário,,,,,0.0,,,,9.0
1992,50058,MIL,Milan,Milan,Italy,Italia,434,Mauro Tassotti,65.0,1960-01-19,ITA,,MALE,,,,,,,,,0.0,,,,9.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,2158,Ola Svensson,61.0,1964-04-06,SWE,,MALE,DEFENDER,UNKNOWN,,Svensson,,,,,0.0,,,,9.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,1691,Orlando Semedo,60.0,1965-03-05,POR,,MALE,FORWARD,,,Semedo,,,,,0.0,,,,9.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,17,Jan Heintze,62.0,1963-08-17,DEN,,MALE,MIDFIELDER,,,Heintze,,,,,0.0,,,,9.0
1992,52748,MAR,Marseille,Marseille,France,Francia,12856,Jocelyn Angloma,60.0,1965-08-07,FRA,,MALE,DEFENDER,,,Angloma,,,,,0.0,,,,9.0
